,S_AIRPORT,D_AIRPORT,S_LAT,S_LON,D_LAT,D_LON,DISTANCE_WGS-84,S_TOTAL_TRAFFIC,S_COST,S_AIRPORT_NAME,S_CITY,S_COUNTRY,D_AIRPORT_NAME,D_CITY,D_COUNTRY
0,BDS,ZRH,40.6576,17.947001,47.464699,8.54917,1065.7919719912957,1777.0,1.6673047336619577,Brindisi – Salento Airport,Brindisi,Italy,Zürich Airport,Zurich,Switzerland
1,BOD,ZRH,44.8283004761,-0.715556025505,47.464699,8.54917,772.8203880884179,1856.0,2.401592955629499,Bordeaux-Mérignac Airport,Bordeaux,France,Zürich Airport,Zurich,Switzerland
2,BRS,ZRH,51.382702,-2.71909,47.464699,8.54917,924.9964732208298,1851.0,2.0010887107005217,Bristol Airport,Bristol,United Kingdom,Zürich Airport,Zurich,Switzerland
3,GVA,LPA,46.23809814453125,6.108950138092041,27.931900024414062,-15.38659954071045,2771.225769184045,1857.0,0.6701005817172275,Geneva Cointrin International Airport,Geneva,Switzerland,Gran Canaria Airport,Gran Canaria,Spain
4,LCA,ZRH,34.875099182128906,33.624900817871094,47.464699,8.54917,2508.6340578065274,1856.0,0.7398448547026542,Larnaca International Airport,Larnaca,Cyprus,Zürich Airport,Zurich,Switzerland
5,LPA,ZRH,27.931900024414062,-15.38659954071045,47.464699,8.54917,3001.70836031437,1857.0,0.6186477089351597,Gran Canaria Airport,Gran Canaria,Spain,Zürich Airport,Zurich,Switzerland
6,TFS,GVA,28.044500351,-16.5725002289,46.23809814453125,6.108950138092041,2832.8268694466683,1852.0,0.6537639204056789,Tenerife South Airport,Tenerife,Spain,Geneva Cointrin International Airport,Geneva,Switzerland
7,ZRH,BDS,47.464699,8.54917,40.6576,17.947001,1065.7919719912957,1857.0,1.7423662861059401,Zürich Airport,Zurich,Switzerland,Brindisi – Salento Airport,Brindisi,Italy
8,ZRH,BOD,47.464699,8.54917,44.8283004761,-0.715556025505,772.8203880884179,1857.0,2.402886917351282,Zürich Airport,Zurich,Switzerland,Bordeaux-Mérignac Airport,Bordeaux,France
9,ZRH,BRS,47.464699,8.54917,51.382702,-2.71909,924.9964732208298,1857.0,2.007575221918352,Zürich Airport,Zurich,Switzerland,Bristol Airport,Bristol,United Kingdom
10,ZRH,LCA,47.464699,8.54917,34.875099182128906,33.624900817871094,2508.6340578065274,1857.0,0.7402434780079896,Zürich Airport,Zurich,Switzerland,Larnaca International Airport,Larnaca,Cyprus
11,ZRH,LPA,47.464699,8.54917,27.931900024414062,-15.38659954071045,3001.70836031437,1857.0,0.6186477089351597,Zürich Airport,Zurich,Switzerland,Gran Canaria Airport,Gran Canaria,Spain
12,ZRH,RMF,47.464699,8.54917,25.557100296,34.5836982727,3337.465016152335,1857.0,0.5564103267038528,Zürich Airport,Zurich,Switzerland,Marsa Alam International Airport,Marsa Alam,Egypt
13,ARN,GEV,59.651901245117,17.918600082397,67.13240051269531,20.814599990844727,846.0729423388616,1857.0,2.1948462207839414,Stockholm-Arlanda Airport,Stockholm,Sweden,Gällivare Airport,Gallivare,Sweden
14,ARN,HAD,59.651901245117,17.918600082397,56.69110107421875,12.820199966430664,445.5972482825339,1857.0,4.167440456953982,Stockholm-Arlanda Airport,Stockholm,Sweden,Halmstad Airport,Halmstad,Sweden
15,ARN,JKG,59.651901245117,17.918600082397,57.757598876953125,14.068699836730955,307.03642868238063,1857.0,6.0481422610637745,Stockholm-Arlanda Airport,Stockholm,Sweden,Jönköping Airport,Joenkoeping,Sweden
16,ARN,KRF,59.651901245117,17.918600082397,63.04859924316406,17.76889991760254,378.59464800079957,1857.0,4.904982175014999,Stockholm-Arlanda Airport,Stockholm,Sweden,Kramfors Sollefteå Airport,Kramfors,Sweden
17,ARN,KSD,59.651901245117,17.918600082397,59.4446983337,13.3374004364,260.0813355547203,1857.0,7.140074069672305,Stockholm-Arlanda Airport,Stockholm,Sweden,Karlstad Airport,Karlstad,Sweden
18,ARN,LYC,59.651901245117,17.918600082397,64.54830169677734,18.71619987487793,547.2645364308034,1857.0,3.3932401542243924,Stockholm-Arlanda Airport,Stockholm,Sweden,Lycksele Airport,Lycksele,Sweden
19,ARN,MHQ,59.651901245117,17.918600082397,60.122200012207,19.898199081421,122.59203477918369,1857.0,15.147803063591219,Stockholm-Arlanda Airport,Stockholm,Sweden,Mariehamn Airport,Mariehamn,Finland
20,ARN,OER,59.651901245117,17.918600082397,63.40829849243164,18.989999771118164,422.4518258503507,1857.0,4.395767484877254,Stockholm-Arlanda Airport,Stockholm,Sweden,Örnsköldsvik Airport,Ornskoldsvik,Sweden
21,ARN,POR,59.651901245117,17.918600082397,61.461700439453,21.799999237061,293.17364523211523,1857.0,6.334130063190885,Stockholm-Arlanda Airport,Stockholm,Sweden,Pori Airport,Pori,Finland
22,ARN,TRF,59.651901245117,17.918600082397,59.1866989136,10.258600235,437.7234580615033,1857.0,4.2424045725670885,Stockholm-Arlanda Airport,Stockholm,Sweden,"Sandefjord Airport, Torp",Sandefjord,Norway
23,ARN,VBY,59.651901245117,17.918600082397,57.662799835205,18.346200942993,222.94886940701113,1857.0,8.329264036813287,Stockholm-Arlanda Airport,Stockholm,Sweden,Visby Airport,Visby,Sweden
24,ARN,VHM,59.651901245117,17.918600082397,64.5791015625,16.833599090576172,552.0139877372807,1857.0,3.3640451895284214,Stockholm-Arlanda Airport,Stockholm,Sweden,Vilhelmina Airport,Vilhelmina,Sweden
25,ARN,VXO,59.651901245117,17.918600082397,56.92910003662109,14.727999687194824,356.27289000661614,1857.0,5.212296675072624,Stockholm-Arlanda Airport,Stockholm,Sweden,Växjö Kronoberg Airport,Vaxjo,Sweden
26,OSL,VXO,60.121,11.0502,56.92910003662109,14.727999687194824,414.9763829189656,1857.0,4.474953458646887,Oslo Lufthavn,Oslo,Norway,Växjö Kronoberg Airport,Vaxjo,Sweden
